"volume","part_code","section_code","table_id","unit_type","table_title","table_content","content_part","content_parts_total","called_in","clause_reference","source","context","clause_count","first_clause_id","last_clause_id","archived","state_territory","source_file","ncc_version"
"Vol3","A","A","Table S1C2_15","table","Table S1C2_15","For the building, where Fire protection; and 60/-/-; and 90/-/-; and 120/-/-; and 180/-/- apply, 240/-/- must be provided or applied in accordance with Clause S1C2. For the building, where Gypsum - perlite or gypsum-vermiculite plaster - sprayed to contour; and 20; and 25; and 35; and 50 apply, 55 must be provided or applied in accordance with Clause S1C2. For the building, where Gypsum - perlite or gypsum-vermiculite plaster - sprayed on metal lath; and 20; and 20; and 25; and 35 apply, 45 must be provided or applied in accordance with Clause S1C2.",1,1,"","","NCC 2022 Vol3","",0,"","","false","","NCC2022_Volume3_Tables_ClauseStyle.txt","2022"
"Vol3","A","A","Table S1C2m","table","Table S1C2m","For the building, where Fire protection; and 60/-/-; and 90/-/-; and 120/-/-; and 180/-/- apply, 240/-/- must be provided or applied in accordance with Clause S1C2. For the building, where Concrete - cast in-situ; and 25; and 40; and 45; and 60 apply, 90 must be provided or applied in accordance with Clause S1C2. For the building, where Gypsum - perlite or gypsum-vermiculite plaster - sprayed to contour; and 20; and 30; and 40; and 55 apply, 65 must be provided or applied in accordance with Clause S1C2. For the building, where Gypsum - perlite or gypsum-vermiculite plaster - sprayed on metal lath; and 20; and 20; and 35; and 40 apply, 50 must be provided or applied in accordance with Clause S1C2.",1,1,"","","NCC 2022 Vol3","",0,"","","false","","NCC2022_Volume3_Tables_ClauseStyle.txt","2022"
"Vol3","A","A","Table S1C2n","table","Table S1C2n","For the building, where Floor, roof or ceiling type; and 60/60/60; and 90/90/90; and 120/120/120; and 180/180/180 apply, 240/240/240 must be provided or applied in accordance with Clause S1C2. For the building, where Prestressed; and See clause S1C2(d)(ii); and See clause S1C2(d)(ii); and See clause S1C2(d)(ii); and See clause S1C2(d)(ii) apply, See clause S1C2(d)(ii) must be provided or applied in accordance with Clause S1C2. For the building, where Reinforced; and See clause S1C2(d)(ii); and See clause S1C2(d)(ii); and See clause S1C2(d)(ii); and See clause S1C2(d)(ii) apply, See clause S1C2(d)(ii) must be provided or applied in accordance with Clause S1C2.",1,1,"","","NCC 2022 Vol3","",0,"","","false","","NCC2022_Volume3_Tables_ClauseStyle.txt","2022"
"Vol3","A","A","Table B1D6_1","table","Table B1D6_1","For the building, where Pipework in timber bearers and joists of solid timber or engineered wood products; and B1 Structural provisions apply, H1 Structure must be provided or applied in accordance with Clause B1D6. For the building, where Fittings, fixtures and pipework installations in steel framed construction; and B1 Structural provisions apply, H1 Structure must be provided or applied in accordance with Clause B1D6. For the building, where Penetrations through a fire-resisting wall or floor; and C1 Fire resistance Performance Requirements and C4 Protection of openings apply, H3 Fire safety must be provided or applied in accordance with Clause B1D6. For the building, where Fixtures and fittings in a wet area; and F2 Wet areas and overflow protection apply, H4 Health and amenity must be provided or applied in accordance with Clause B1D6. For the building, where Service pipework external to the building and penetrations through roof cladding in a bushfire prone area; and G5 Construction in bushfire prone areas apply, H7 Ancillary provisions and additional construction requirements must be provided or applied in accordance with Clause B1D6. For the building, where Pipework sound insulation; and F7 Sound transmission and insulation apply, H4 Health and amenity must be provided or applied in accordance with Clause B1D6. For the building, where Flues, chimneys, pipes, gas storage, domestic fuel tanks, cooling or heating appliances or other services; and C4 Protection of openings apply, H3 Fire safety must be provided or applied in accordance with Clause B1D6. For the building, where Power supply to boiling and/or chilled water storage units; and J7 Artificial lighting and power apply, Not applicable must be provided or applied in accordance with Clause B1D6.",1,1,"","","NCC 2022 Vol3","",0,"","","false","","NCC2022_Volume3_Tables_ClauseStyle.txt","2022"
"Vol3","A","A","Table B2V1","table","Table B2V1","For the building, where 70  degC or greater applies, 1 second must be provided or applied in accordance with Clause B2V1. For the building, where 66  degC applies, 2 minutes must be provided or applied in accordance with Clause B2V1. For the building, where 60  degC applies, 32 minutes must be provided or applied in accordance with Clause B2V1.",1,1,"","","NCC 2022 Vol3","",0,"","","false","","NCC2022_Volume3_Tables_ClauseStyle.txt","2022"
"Vol3","A","A","Table B2D2a","table","Table B2D2a","For the building, where 1 or 2; and 12; and 11; and 9 apply, 8 must be provided or applied in accordance with Clause B2D2. For the building, where 3 or 4; and 19; and 17; and 15 apply, 13 must be provided or applied in accordance with Clause B2D2. For the building, where 4 or more; and 25; and 22; and 19 apply, 16 must be provided or applied in accordance with Clause B2D2.",1,1,"","","NCC 2022 Vol3","",0,"","","false","","NCC2022_Volume3_Tables_ClauseStyle.txt","2022"
"Vol3","A","A","Table B2D2b","table","Table B2D2b","For the building, where 1 or 2 applies, 40% for a small load system must be provided or applied in accordance with Clause B2D2. For the building, where 2 or 3 applies, 60% for a medium load system must be provided or applied in accordance with Clause B2D2. For the building, where 4 or more applies, 60% for a large load system must be provided or applied in accordance with Clause B2D2.",1,1,"","","NCC 2022 Vol3","",0,"","","false","","NCC2022_Volume3_Tables_ClauseStyle.txt","2022"
"Vol3","A","A","Table B2","table","Table B2","For the building, where Excavations for pipework adjacent to a building and footings; and B1 Structural provisions apply, H1 Structure must be provided or applied in accordance with Clause B2D11. For the building, where Termite management for attachments to buildings and penetrations through a slab; and B1 Structural provisions apply, H1 Structure must be provided or applied in accordance with Clause B2D11. For the building, where Penetrations for pipework through a vapour barrier; and B1 Structural provisions apply, H1 Structure must be provided or applied in accordance with Clause B2D11. For the building, where Pipework in timber bearers and joists of solid timber or engineered wood products; and B1 Structural provisions apply, H1 Structure must be provided or applied in accordance with Clause B2D11. For the building, where Fittings, fixtures and pipework installations in steel framed construction; and B1 Structural provisions apply, H1 Structure must be provided or applied in accordance with Clause B2D11. For the building, where Penetrations through a fire-resisting wall or floor; and C1 Fire resistance Performance Requirements and C4 Protection of openings apply, H3 Fire safety must be provided or applied in accordance with Clause B2D11. For the building, where Fixtures and fittings in a wet area; and F2 Wet areas and overflow protection apply, H4 Health and amenity must be provided or applied in accordance with Clause B2D11. For the building, where Service pipework external to the building and penetrations through roof cladding in a bushfire prone area; and G5 Construction in bushfire prone areas apply, H7 Ancillary provisions and additional construction requirements must be provided or applied in accordance with Clause B2D11. For the building, where Pipework sound insulation; and F7 Sound transmission and insulation apply, H4 Health and amenity must be provided or applied in accordance with Clause B2D11. For the building, where Flues, chimneys, pipes, gas storage, domestic fuel tanks, cooling or heating appliances or other services; and C4 Protection of openings apply, H3 Fire safety must be provided or applied in accordance with Clause B2D11.",1,1,"","","NCC 2022 Vol3","",0,"","","false","","NCC2022_Volume3_Tables_ClauseStyle.txt","2022"
"Vol3","A","A","Table B2D11_2","table","Table B2D11_2","For the building, where Central heating pipework; and J6 Air-conditioning and ventilation systems apply, H6 Energy efficiency must be provided or applied in accordance with Clause B2D11. For the building, where Pool and spa heating and pumping - energy efficiency; and J8 Heated water supply and swimming pool and spa pool plant apply, H6 Energy efficiency must be provided or applied in accordance with Clause B2D11. For the building, where Energy consumption monitoring for water heaters; and J9 Facilities for energy monitoring apply, Not applicable must be provided or applied in accordance with Clause B2D11.",1,1,"","","NCC 2022 Vol3","",0,"","","false","","NCC2022_Volume3_Tables_ClauseStyle.txt","2022"
"Vol3","A","A","Table B3","table","Table B3","For Class 2 to 9 b, where Item; and NCC Volume One Class 2 to 9 buildings apply, NCC Volume Two Class 1 and 10 buildings must be provided or applied in accordance with Clause B3D5. For the building, where Excavations for pipework adjacent to a building and footings; and B1 Structural provisions apply, H1 Structure must be provided or applied in accordance with Clause B3D5. For the building, where Termite management for attachments to buildings and penetrations through a slab; and B1 Structural provisions apply, H1 Structure must be provided or applied in accordance with Clause B3D5. For the building, where Penetrations for pipework through a vapour barrier; and B1 Structural provisions apply, H1 Structure must be provided or applied in accordance with Clause B3D5. For the building, where Pipework in timber bearers and joists of solid timber or engineered wood products; and B1 Structural provisions apply, H1 Structure must be provided or applied in accordance with Clause B3D5. For the building, where Fittings, fixtures and pipework installations in steel framed construction; and B1 Structural provisions apply, H1 Structure must be provided or applied in accordance with Clause B3D5. For the building, where Penetrations through a fire-resisting wall or floor; and C1 Fire resistance Performance Requirements and C4 Protection of openings apply, H3 Fire safety must be provided or applied in accordance with Clause B3D5. For the building, where Fixtures and fittings in a wet area; and F2 Wet areas and overflow protection apply, H4 Health and amenity must be provided or applied in accordance with Clause B3D5. For the building, where Flues, chimneys, pipes, gas storage, domestic fuel tanks, cooling or heating appliances or other services; and C4 Protection of openings apply, H3 Fire safety must be provided or applied in accordance with Clause B3D5. For the building, where Service pipework external to the building and penetrations through roof cladding in a bushfire prone area; and G5 Construction in bushfire prone areas apply, H7 Ancillary provisions and additional construction requirements must be provided or applied in accordance with Clause B3D5. For the building, where Pipework sound insulation; and F7 Sound transmission and insulation apply, H4 Health and amenity must be provided or applied in accordance with Clause B3D5.",1,1,"","","NCC 2022 Vol3","",0,"","","false","","NCC2022_Volume3_Tables_ClauseStyle.txt","2022"
